Rosanna Lea | Every Other Flower [148]
Rosanna Lea | Story to Tell [35]
DO'A | Higher Grounds [3]
Bonnie Lisbeth | By This Fire [94]
Bonnie Lisbeth | Whither Shall I Turn [37]
Sheyda Peyman | In Awe [35]
Sheyda Peyman | (Song) Unë e doja krijimin tënd (I Loved Thy Creation) [44]
Shadi Toloui-Wallace | Radiant Heart [46]
Shadi Toloui-Wallace | Daughters of the Kingdom [1]
Shadi Toloui-Wallace | (Song) Bring Us the Flame [58]
Shadi Toloui-Wallace | (Song) This Is Faith [19]
Shadi Toloui-Wallace | (Song) I Adjure Thee [19]
Grupos Prejuveniles Gran Canaria | Todo Toma Color [114]
Grupos Prejuveniles Gran Canaria | Nuestra Voz [1]
Siria | Turn My Steps [93]
Siria | (Song) Make Them to Grow [48]
Seals and Crofts | Summer Breeze [5]
Luke Slott | (Song) Blessed Is the Spot [46]
Luke Slott | (Song) Forgiveness [33]
Luke Slott | (Song) Refresh and Gladden My Spirit [15]
Ali Youssefi | (Song) One Tree [8]
Ali Youssefi | (Song) Forgiveness [3]
Ali Youssefi | (Song) Waves [3]
Ali Youssefi | (Song) Unite [3]
Heroes Teaching Conference | (Song) Abdu'l-Baha [52]
Heroes Teaching Conference | (Song) Paradise [46]
Heroes Teaching Conference | (Song) Serried Lines [7]
Heroes Teaching Conference | (Song) Thy Confirmations [50]
Congo Baha'i Youth Choir | (Song) Baha'u'llah N'uzoDum [19]
Meredith & Arman | (Song) O Son of Spirit [82]
Nadia & Nura | (Song) Verily I Say [27]
Nica, Sahar and Delara | (Song) Thought of Love [65]
Christina, Julia & Jeffrey | (Song) Ya Baha [51]
Calla Kinglit | (Song) No One But Thee [55]
Fleur & Tessa | (Song) O Fab Yr Ysbryd (O Son of Spirit) [8]
Sabria, Efe, Rafael & Maarten | (Song) Rely Upon God [71]
Shadi, Hoda & Leif | (Song) I Adjure Thee [41]
Nadia, Zaynab, Fritz & Earl | (Song) Love Is Not... [23]
Nica | (Song) Make Us Rich in Thee [53]
Mose Tokuma | (Song) Amuia Se Fanua (Blessed Is the Spot) [42]
JYSEP Goodna | (Song) At All Times [65]
Tom Francis | (Song) Say God Sufficeth [46]
Naim Z, Naim S & Negin | (Song) The Gate of God [1]
Baha'i | (Song) Victory Arriveth [14]
Baha'i | (Song) Be as a Lamp [2]
Baha'i | (Song) O That I Could Travel [2]
Baha'i | (Song) Ray of Light [1]
Baha'i | (Song) Immensity of Space [1]
Baha'i | (Song) Kindle the Fire of Love [1]
Baha'i | (Song) Strive That Day by Day [1]
Baha'i | (Song) If Thou Lovest Me [2]
Baha'i | (Song) Strive Ye [2]
Baha'i | (Song) Baha'u'llah Aye [2]
Baha'i | (Song) Thou Seest Me [2]
