Albéniz | Cantos de España, Op. 232 [1]
Albéniz | Iberia [11]
Albéniz | Mallorca, Op. 202 [1]
Albéniz | Navarra [9]
Albéniz | Suite española No. 1, Op. 47 [9]
Bach | Aria variata alla maniera italiana, BWV 989 [1]
Bach | Brandenburg Concertos [1]
Bach | Cello Suites [6]
Bach | Christ lag in Todesbanden, BWV 4 [7]
Bach | Concerto for 2 Violins [1]
Bach | Goldberg Variations [10]
Bach | Ich ruf zu dir Herr Jesu Christ, BWV 639 [27]
Bach | Italian Concerto, BWV 971 [1]
Bach | Mass in B minor, BWV 232 [1]
Bach | Nun freut euch, lieben Christen g'mein, BWV 734 [26]
Bach | Nun komm, der Heiden Heiland, BWV 659 [26]
Bach | Overture in the French Manner, BWV 831 [1]
Bach | Sonatas and Partitas for Solo Violin [1]
Bach | St John Passion, BWV 245 [1]
Bach | St Matthew Passion, BWV 244 [1]
Bach | The Well-Tempered Clavier, Book I [1]
Bach | Violin Concerto in A minor, BWV 1041 [1]
Bach | Wachet auf, ruft uns die Stimme, BWV 645 [27]
Bartók | 2 Elegies, BB 49, Sz. 41 [1]
Bartók | 3 Hungarian Folk Tunes, BB 80b, Sz. 66 [1]
Bartók | 6 Romanian Folk Dances, BB 68, Sz. 56 [1]
Bartók | 14 Bagatelles, BB 50, Sz. 38 [1]
Bartók | Sonatina, BB 69, Sz. 55 [1]
Beethoven | 7 Bagatelles, Op. 33 [1]
Beethoven | 32 Variations in C minor, WoO 80 [1]
Beethoven | Ah perfido!, Op. 65 [1]
Beethoven | Diabelli Variations [1]
Beethoven | Piano Concerto No. 1 [18]
Beethoven | Piano Concerto No. 2 [17]
Beethoven | Piano Concerto No. 3 [12]
Beethoven | Piano Concerto No. 4 [31]
Beethoven | Piano Concerto No. 5 'Emperor' [31]
Beethoven | Piano Sonata No. 5 [1]
Beethoven | Piano Sonata No. 8 'Pathétique' [1]
Beethoven | Piano Sonata No. 17 'Tempest' [1]
Beethoven | Piano Sonata No. 18 'The Hunt' [1]
Beethoven | Piano Sonata No. 21 'Waldstein' [1]
Beethoven | Piano Sonata No. 23 'Appassionata' [1]
Beethoven | Piano Sonata No. 27 [1]
Beethoven | Piano Sonata No. 28 [2]
Beethoven | Piano Sonata No. 29 'Hammerklavier' [1]
Beethoven | Piano Sonata No. 30 [2]
Beethoven | Piano Sonata No. 31 [2]
Beethoven | Romance No. 2 [2]
Beethoven | Rondo in C major, Op. 51 No. 1 [9]
Beethoven | Rondo in G major, Op. 51 No. 2 [9]
Beethoven | Late String Quartets [1]
Beethoven | Symphony No. 3 'Eroica' [1]
Beethoven | Symphony No. 7 [1]
Beethoven | Violin Concerto [2]
Beethoven | Violin Sonata No. 1 [1]
Beethoven | Violin Sonata No. 2 [1]
Beethoven | Violin Sonata No. 3 [1]
Beethoven | Violin Sonata No. 5 'Spring' [1]
Beethoven | Violin Sonata No. 6 [1]
Beethoven | Violin Sonata No. 10 [1]
Bernstein | West Side Story [1]
Brahms | 4 Piano Pieces, Op. 119 [1]
Brahms | 6 Piano Pieces, Op. 118 [1]
Brahms | Intermezzi, Op. 117 [1]
Brahms | Piano Concerto No. 1 [7]
Brahms | Piano Concerto No. 2 [1]
Brahms | Piano Sonata No. 3 [4]
Brahms | Piano Trio No. 1 [1]
Brahms | Symphony No. 4 [1]
Brahms | Violin Concerto [1]
Brahms | Wiegenlied, Op. 49 No. 4 [1]
Britten | Variations on a Theme of Frank Bridge, Op. 10 [1]
Bruch | Violin Concerto No. 1 [137]
Bruckner | Symphony No. 9 [1]
Byrd | Mass for Four Voices [1]
Chausson | Poème, Op. 25 [1]
Chopin | Andante spianato et Grande Polonaise brillante, Op. 22 [6]
Chopin | Ballade No. 1 [15]
Chopin | Ballade No. 2 [13]
Chopin | Ballade No. 3 [15]
Chopin | Ballade No. 4 [19]
Chopin | Berceuse, Op. 57 [3]
Chopin | Etudes, Op. 25 [1]
Chopin | Fantasy on Polish Airs, Op. 13 [1]
Chopin | Impromptu No. 1, Op. 29 [2]
Chopin | Mazurka No. 38, Op. 59 No. 3 [1]
Chopin | Mazurkas, Op. 30 [1]
Chopin | Nocturne in B-flat minor, Op. 9 No. 1 [1]
Chopin | Nocturne in C-sharp minor, KK IVa/16 [2]
Chopin | Nocturne in D-flat major, Op. 27 No. 2 [1]
Chopin | Nocturne in E-flat major, Op. 9 No. 2 [2]
Chopin | Nocturne in F major, Op. 15 No. 1 [1]
Chopin | Nocturne in F minor, Op. 55 No. 1 [1]
Chopin | Piano Concerto No. 1 [3]
Chopin | Piano Concerto No. 2 [1]
Chopin | Piano Sonata No. 2 [1]
Chopin | Piano Sonata No. 3 [1]
Chopin | Prelude in C-sharp minor, Op. 45 [10]
Chopin | Prelude in D-flat major, Op. 28 No. 15 'Raindrop' [3]
Chopin | Scherzo No. 1 [7]
Chopin | Scherzo No. 2 [6]
Chopin | Scherzo No. 3 [4]
Chopin | Scherzo No. 4 [3]
Chopin | Waltz No. 2, Op. 34 No. 2 [1]
Chopin | Waltz No. 4, Op. 34 No. 3 [1]
Corelli | Concerto grosso in D, Op. 6 No. 1 [1]
Debussy | Deux Arabesques [1]
Debussy | La mer [15]
Debussy | Preludes, Book I [1]
Debussy | String Quartet [1]
Debussy | The Little Shepherd [1]
Debussy | Violin Sonata [16]
Dvorák | Cello Concerto [11]
Dvorák | Piano Quintet No. 2 [3]
Dvorák | Symphony No. 8 [8]
Dvorák | Symphony No. 9 'From the New World' [11]
Dvorák | Violin Concerto [1]
Elgar | Cello Concerto [13]
Fauré | Cantique de Jean Racine, Op. 11 [4]
Fauré | Messe basse [1]
Fauré | Requiem, Op. 48 [14]
Franck | Piano Quintet [3]
Franck | Variations symphoniques [1]
Franck | Violin Sonata [17]
Gershwin | Rhapsody in Blue [1]
Granados | 12 Danzas españolas [1]
Granados | 12 Tonadillas en estilo antiguo [1]
Granados | Cuentos de la juventud, Op. 1 [1]
Granados | Valses poéticos [1]
Grieg | Lyric Pieces, Book 1, Op. 12 [4]
Grieg | Lyric Pieces, Book 2, Op. 38 [3]
Grieg | Lyric Pieces, Book 4, Op. 47 [1]
Grieg | Lyric Pieces, Book 5, Op. 54 [3]
Grieg | Lyric Pieces, Book 6, Op. 57 [3]
Grieg | Lyric Pieces, Book 7, Op. 62 [5]
Grieg | Lyric Pieces, Book 8, Op. 65 [1]
Grieg | Lyric Pieces, Book 9, Op. 68 [3]
Grieg | Lyric Pieces, Book 10, Op. 71 [3]
Grieg | Piano Concerto [12]
Handel | Keyboard Suite in A major, HWV 426 [2]
Handel | Keyboard Suite in D minor, HWV 428 [1]
Handel | Keyboard Suite in F major, HWV 427 [1]
Handel | Keyboard Suite No. 9 in G minor, HWV 439 [1]
Handel | Keyboard Suite No. 10 in D minor, HWV 436 [1]
Handel | Keyboard Suite No. 11 in D minor, HWV 437 [1]
Handel | Keyboard Suite No. 13 in B-flat major, HWV 440 [1]
Handel | Keyboard Suite No. 14 in G major, HWV 441 [1]
Handel | Keyboard Suite No. 15 in D minor, HWV 447 [1]
Haydn | Piano Trio in A, H. XV:9 [5]
Haydn | Piano Trio in A, H. XV:18 [4]
Haydn | Piano Trio in A, H. XV:35 [5]
Haydn | Piano Trio in A-flat, H. XV:14 [3]
Haydn | Piano Trio in B-flat, H. XV:8 [3]
Haydn | Piano Trio in B-flat, H. XV:20 [3]
Haydn | Piano Trio in B-flat, H. XV:38 [5]
Haydn | Piano Trio in C major, H. XV:27 [1]
Haydn | Piano Trio in C minor, H. XV:13 [3]
Haydn | Piano Trio in C, H. XIV:C1 [5]
Haydn | Piano Trio in C, H. XV:21 [3]
Haydn | Piano Trio in C, H. XV:C1 [8]
Haydn | Piano Trio in D major, H. XV:24 [3]
Haydn | Piano Trio in D minor, H. XV:23 [3]
Haydn | Piano Trio in D, H. deest [4]
Haydn | Piano Trio in D, H. XV:7 [4]
Haydn | Piano Trio in D, H. XV:16 [4]
Haydn | Piano Trio in E minor, H. XV:12 [3]
Haydn | Piano Trio in E, H. XV:28 [1]
Haydn | Piano Trio in E, H. XV:34 [5]
Haydn | Piano Trio in E-flat minor, H. XV:31 [1]
Haydn | Piano Trio in E-flat, H. XV:10 [5]
Haydn | Piano Trio in E-flat, H. XV:11 [4]
Haydn | Piano Trio in E-flat, H. XV:22 [3]
Haydn | Piano Trio in E-flat, H. XV:29 [1]
Haydn | Piano Trio in E-flat, H. XV:30 [1]
Haydn | Piano Trio in E-flat, H. XV:36 [5]
Haydn | Piano Trio in F minor, H. XV:f1 [4]
Haydn | Piano Trio in F, H. XV:2 [4]
Haydn | Piano Trio in F, H. XV:6 [5]
Haydn | Piano Trio in F, H. XV:17 [4]
Haydn | Piano Trio in F, H. XV:37 [8]
Haydn | Piano Trio in F, H. XV:39 [6]
Haydn | Piano Trio in F, H. XV:40 [5]
Haydn | Piano Trio in F-sharp minor, H. XV:26 [2]
Haydn | Piano Trio in G major, H. XV:25 'Gypsy Rondo' [3]
Haydn | Piano Trio in G minor, H. XV:1 [5]
Haydn | Piano Trio in G minor, H. XV:19 [4]
Haydn | Piano Trio in G, H. XIV:6/H. XVI:6 [7]
Haydn | Piano Trio in G, H. XV:5 [5]
Haydn | Piano Trio in G, H. XV:15 [4]
Haydn | Piano Trio in G, H. XV:32 [4]
Haydn | Piano Trio in G, H. XV:41 [5]
Haydn | Scena di Berenice [4]
Haydn | String Quartets, Op. 76 [4]
Haydn | String Quartet in D minor, Op. 42 [1]
Haydn | String Quartet in D minor, Op. 103 [1]
Haydn | String Quartet in F major, Op. 77 No. 2 [1]
Haydn | String Quartet in G major, Op. 77 No. 1 [1]
Haydn | Symphony No. 88 [3]
Haydn | Symphony No. 94 'Surprise' [1]
Haydn | Symphony No. 96 'Miracle' [1]
Haydn | Symphony No. 100 'Military' [1]
Haydn | Symphony No. 101 'Clock' [1]
Haydn | Symphony No. 103 'Drum Roll' [1]
Haydn | Symphony No. 104 'London' [1]
Haydn | The Seven Last Words of Our Saviour from the Cross, Op. 51 [2]
Holst | The Planets, Op. 32 [1]
Johann Strauss II | Wiener Blut Waltz, Op. 354 [1]
Liszt | Consolation No. 3 in D-flat major, S. 172/3 [2]
Liszt | Hungarian Rhapsody No. 2, S. 244 [2]
Liszt | Liebestraum No. 3 [3]
Liszt | Schwanengesang, S. 560 [2]
Liszt | Soirées de Vienne, S. 427 [1]
Mahler | Symphony No. 2 'Resurrection' [17]
Mahler | Symphony No. 5 [1]
Mahler | Symphony No. 9 [6]
Mendelssohn | Lieder ohne Worte [24]
Mendelssohn | Violin Concerto [154]
Mendelssohn | Wedding March [1]
Mozart | Adagio in B minor, K. 540 [1]
Mozart | Clarinet Concerto [1]
Mozart | Concert Rondo in D, K. 382 [3]
Mozart | Concerto for 2 Pianos, K. 365 [4]
Mozart | Concertone in C major, K. 190 [10]
Mozart | Die Zauberflöte [1]
Mozart | Divertimento in B-flat, K. 254 [1]
Mozart | Drei Stücke for Piano Trio, K. 442 [1]
Mozart | Eine kleine Nachtmusik [8]
Mozart | Fantasia in C minor, K. 475 [41]
Mozart | Fantasia in D minor, K. 397 [1]
Mozart | Gigue in G major, K. 574 [11]
Mozart | Kyrie in D minor, K. 341 [1]
Mozart | March in C major, K. 408 [11]
Mozart | March in D, K. 249 [9]
Mozart | March in D, K. 335 No. 1 [7]
Mozart | March in D, K. 335 No. 2 [6]
Mozart | Mass in C minor [4]
Mozart | Piano Concerto No. 5 [1]
Mozart | Piano Concerto No. 6 [1]
Mozart | Piano Concerto No. 8 [1]
Mozart | Piano Concerto No. 9 'Jeunehomme' [1]
Mozart | Piano Concerto No. 11 [1]
Mozart | Piano Concerto No. 12 [1]
Mozart | Piano Concerto No. 13 [1]
Mozart | Piano Concerto No. 15 [1]
Mozart | Piano Concerto No. 17 [30]
Mozart | Piano Concerto No. 18 [4]
Mozart | Piano Concerto No. 19 [10]
Mozart | Piano Concerto No. 20 [39]
Mozart | Piano Concerto No. 21 [3]
Mozart | Piano Concerto No. 23 [11]
Mozart | Piano Concerto No. 24 [8]
Mozart | Piano Concerto No. 27 [11]
Mozart | Piano Quartet No. 1 [1]
Mozart | Piano Sonata No. 1 [48]
Mozart | Piano Sonata No. 2 [47]
Mozart | Piano Sonata No. 3 [45]
Mozart | Piano Sonata No. 4 [48]
Mozart | Piano Sonata No. 5 [44]
Mozart | Piano Sonata No. 6 [44]
Mozart | Piano Sonata No. 7 [43]
Mozart | Piano Sonata No. 8 [54]
Mozart | Piano Sonata No. 9 [41]
Mozart | Piano Sonata No. 10 [42]
Mozart | Piano Sonata No. 11 'Alla Turca' [38]
Mozart | Piano Sonata No. 12 [39]
Mozart | Piano Sonata No. 13 [41]
Mozart | Piano Sonata No. 14 [37]
Mozart | Piano Sonata No. 15 [40]
Mozart | Piano Sonata No. 16 'Sonata facile' [36]
Mozart | Piano Sonata No. 17 [38]
Mozart | Piano Sonata No. 18 [38]
Mozart | Requiem [2]
Mozart | Rondo for Piano and Orchestra in A, K. 386 [1]
Mozart | Rondo in A minor, K. 511 [10]
Mozart | Rondo in C major, K. 373 [5]
Mozart | Rondo in D major, K. 382 [6]
Mozart | Rondo in D major, K. 485 [1]
Mozart | Serenade in D major 'Haffner' [9]
Mozart | Serenade in D major 'Posthorn' [7]
Mozart | Serenata notturna [10]
Mozart | Sinfonia concertante in E-flat major, K. 364 [13]
Mozart | Sonata for Piano and Violin in G major, K. 301 [1]
Mozart | Sonata for Two Pianos in D major, K. 448 [2]
Mozart | String Quartet No. 17 'Hunt' [4]
Mozart | String Quartet No. 19 'Dissonance' [4]
Mozart | String Quintets [3]
Mozart | Suite in C major, K. 399 [2]
Mozart | Symphony No. 40 [1]
Mozart | Symphony No. 41 'Jupiter' [1]
Mozart | Symphony No. 51 [1]
Mozart | Vesperae solennes de confessore [1]
