The Friends in Bristol | (Song) Thy Presence
Danny Djalili | (Song) Infinite Bestowals
Yoshie & Aleksandar | (Song) Healing Prayer
Young Mbazo & the Durban Baha'i Choir | (Song) Nkulunkulu Wami (My God)
Turning Point | (Song) O Pikinini Blong Graon (O Son of Earth)
Sahar & Hoda | (Song) Find Me
Dominique Sylvester | (Song) I Repair for Refuge
Gary Sterling | (Song) Midnight Prayer
Badasht | (Song) Say: God Sufficeth
Ethan Crofts | (Song) Arise
Bhojraj Parmar | (Song) I Ask Thee
Oisin & Bahiyyih Devine | (Song) My Light Is in Thee
Friends in Bristol | (Song) Happiness
Bakang Nakedi | (Song) O Son of Being
Klare Kuolga | (Song) Blessed Is the Spot
The Baha'i Faith | (Song) Baha'i Prayer in Papua New Guinea
Heroes Teaching Conference | (Song) Thou Seest
Joburg Baha'i Choir | (Song) Be a Baha'i
Nicolas & Louis | (Song) O fils de l'Esprit
JB Eckl | (Song) Refresh and Gladden My Spirit
The Baha'i Faith | (Song) Spanish Prayer of Bahá'u'lláh
Music of the Baháʼí World Congress | (Song) Ya Bahá'u'l Abhá, Ya Yá 'Aliyyu'l-A'lá
Stefan Fukushige Wenk | (Song) Shine Your Light on Me Bahá'u'lláh
Bahá'u'lláh - Louis Papis Chemnitz | (Song) Asannga asaniassagakkit
Elika Mahony | (Song) Hold Thou My Hand
Elika Mahony | (Song) The Power of Thy Name
Sara Paymán | (Song) TEN (Our Story Is One)
Badasht | (Song) He Maketh Victorious
Tom Francis | (Song) Rise
The Smith Family | (Song) Kitchen Table
Devon Gundry | (Song) Armed with the Power of Thy Name
Shayan & Nabil | (Song) Remember My Days
Naim Abid | (Song) Yá Bahá'u'l-Abhá
Dominique, Solomzi, Semere & Rosemary | (Song) 'Abdu'l-Baha
Lydia, Jazmin & Violeta | (Song) Be Thou Content
the Mahikeng Baha'i Choir | (Song) Be Thou Ever Hopeful
Vaimoana & Felipe | (Song) Burst Thy Cage
Sasha Bayan & Sam Suggs | (Song) Burst
Rafael, Efe, Sabria & Maarten | (Song) De Heldere Stroom (The Limpid Stream)
Ann-Sofie, Rasmus, Sasha & Nora | (Song) Led mig (Guide Me)
the South African Baha'i Choir | (Song) My Name is Abdu'l-Baha
Walter Heath | (Song) O Children of Men
Olivia & Shay | (Song) O Hijo del Hombre (O Son of Man)
Meredith & Arman | (Song) O Man of Two Visions
Carl Brehmer | (Song) O Son of Light
Pegah, Sasha & Lua | (Song) O Son of Spirit
Stevie & Tory | (Song) Prayer for Humanity
Kingsley, Simon, Penny, Sonya, Amanda & Goleta | (Song) To the End
Shaun Gould | (Song) Trust in Thee
Aaron, Shay & Friends | (Song) Ya Baha'u'l-Abha
Sanele & Xolani | (Song) Maye Mngani (O Friend)
the Leith Neighbourhood Group | (Song) Only What Thou Didst Desire
Denzil & Ephrim | (Song) He May Soar
Naim Z, Naim S & Negin | (Song) The Báb
Denzil & Ephrim Aumua | (Song) The Fire
Nadia, Zaynab & Earl | (Song) The Power of the Covenant
Max Weigert | (Song) Be Happy
Heroes Teaching Conference | (Song) Be Unrestrained
Heroes Teaching Conference | (Song) Dust and the Mountain
Heroes Teaching Conference | (Song) Make Me As Dust
Heroes Teaching Conference | (Song) Make My Heart
Heroes Teaching Conference | (Song) Nurturing Younger Generations
Baha'i | (Song) Queen of Carmel
Baha'i | (Song) Oyé Oyé
Baha'i | (Song) O Lord I Am Weak
Baha'i | (Song) Yá Bahá'u'l-Abhá
