Bach, C.P.E. | Complete Flute Concertos
Bach, C.P.E. | Sonatas & Rondos
Bach | Bach: Keyboard Concertos, Vol. 1
Bach | Cantatas Nos.170, 82 & 159
Bach | Complete Violin Sonatas
Bach | Italian Concerto; French Overture; Chromatic Fantasy
Bach | Piano Works
Bach | Violin Concertos
Bach, Brahms | Cantata BWV 82 'I am content' / Four Serious Songs
Bartók | Concerto for Orchestra; Dance Suite; The Miraculous Mandarin
Bartók | The String Quartets
Bartók | Works for Solo Piano, Vol. 1
Beethoven | Fidelio
Beethoven | Symphonies Nos.5 & 7
Beethoven | Symphony No.9
Beethoven | The 9 Symphonies
Beethoven | The Late Piano Sonatas
Beethoven | The Piano Sonatas
Berlioz | Nuits D'Été, Op.7, etc
Berlioz | Overtures
Berlioz | Symphonie fantastique
Berlioz, Ravel, Debussy, Poulenc | Les Nuits d'été / Shéhérazade
Bernstein | West Side Story & Candide
Biber | Missa Bruxellensis
Biber | The Mystery Sonatas
Boccherini, Falla, Romero | Spanish Guitar Favourites
Borodin, Glinka, Mussorgsky, Suppé | Romantic Russia
Brahms | A German Reqiuem
Brahms | Hungarian Dances
Brahms | Piano Quartets
Brahms | Symphony No.1; Tragic Overture; Alto Rhapsody
Bridge, Britten, Delius, Elgar, Purcell | English Music for Strings
Britten | Peter Grimes
Britten | Serenade for Tenor, Horn & Strings; Les Illuminations; Nocturne
Britten, Holst | Sinfonia da Requiem; Peter Grimes / The Perfect Fool; Egdon Heath
Britten, Vaughan Williams, Handel | Variations on a theme by Frank Bridge / Fantasia on a theme by Tallis / Water Music Suite
Britten, Walton | Serenade for Tenor, Horn & Strings / Façade
Bruckner | Symphony No. 4, "Romantic"
Bruckner | Symphony No.5
Bruckner | Symphony No.8
Bruckner | The Masses
Buxtehude | Opera Omnia I - Harpsichord Works I
Byrd | Byrd and his Contemporaries
Byrd | Masses for Three, Four and Five Voices
Byrd | My Ladye Nevells Booke
Byrd | The Masses
Byrd, Tallis | Heavenly Harmonies
Chopin | 14 Waltzes; Barcarolle; Nocturne in D flat; Mazurka in C sharp minor
Chopin | 4 Ballades & Other Piano Works
Chopin | Etudes
Chopin | Nocturnes, etc.
Chopin | Waltzes & Impromptus
Clemens Non Papa, Crecquillon | Missa Pastores quidnam vidistis / Pater peccavi
Crusell, Weber, Rossini | Clarinet Concerto No. 2 / Concertino / Introduction, Theme and Variations
Debussy, Ravel, Kodály | String Quartets
Durante, Astorga, Pergolesi | Sacred Works
Dvorák | Requiem; Biblical Songs Op.99
Dvorák | The Symphonies; Overtures
Fauré, Bach | Requiem / Chorales & Partita in D minor
Franck, Debussy, Chausson | Violin Sonatas / Poème
Granados, Albéniz | Music of Spain, Vol. 5
Grieg, Schumann, Franck | Piano Concertos / Symphonic Variations
Handel | Solomon
Handel, Beethoven | Keyboard Suites Vol. II / Piano Sonata Op.31 No.2
Handel, Boiëldieu, Dittersdorf | Harp Concertos
Haydn | 6 "London" Symphonies
Haydn | Piano Sonatas
Haydn | The 12 "London" Symphonies
Haydn | The Paris Symphonies
Haydn, "Mozart, L.", Fasch, Hummel | Wynton Marsalis: The London Concert
Hildegard von Bingen | Canticles Of Ecstasy
Holst, Handel, Bach | Suite No. 1 In E-flat & Suite No. 2 In F / Music For The Royal Fireworks / Fantasia In G
Josquin | Missa Faisant regretz; Motets
Mahler | Symphony No.1, Songs of a Wayfarer
Mahler, Brahms | Songs on the Death of Children; Songs after Rückert / Four Serious Songs; Other Works
Mendelssohn, Bruch | Violin Concerto / Violin Concertos 1 & 2
Mendelssohn, Bruch | Violin Concertos
Messiaen | The Transfiguration of Our Lord Jesus Christ
Messiaen | Turangalîla Symphony
Mozart | Così fan tutte
Mozart | Don Giovanni
Mozart | Piano Quartets Nos. 1 & 2; Horn Quintet in E flat
Mozart | String Quartets
Mozart | The Great Serenades
Mozart | The Horn Concertos
Mozart, Reinecke, Rodrigo | Flute & Harp Concerto / Harp Concerto / Concerto-Serenade
Ockeghem, Josquin | Missa L'Homme Arme / Memor Esto Verbi Tui
Prokofiev | Peter And The Wolf
Prokofiev, Bloch | Violin Concertos
Ravel, Prokofiev | Gaspard de la Nuit / Piano Sonata No.6
Schubert | Lieder
Schubert | Piano Sonata No.21, etc
Schubert | Sacred & Secular Choral Works
Schubert | Songs
Schubert | String Quintet in C, D956; String Quartets "Death and the Maiden" & "Quartettsatz"
Schubert | Symphonies 3,5 & 6
Schubert | The Fair Maid of the Mill; Elf King; To Music; Rose on the Heath
Schubert | Winter Journey
Schubert, Spohr | Octet in F / Octet in E
Schumann | The Symphonies
Smetana | The Moldau; Overture and Dances from The Bartered Bride
Steve Reich | Music for 18 Musicians
Steve Reich | New York Counterpoint, Eight Lines, Four Organs
Stradella | San Giovanni Battista
Strauss | Four Last Songs; 6 Orchestral Songs
Strauss | Metamorphoses; Death and Transfiguration
Tchaikovsky | Aurora's Wedding / Stokowski Encores
Tchaikovsky | The Symphonies / Romeo & Juliet
Tchaikovsky, Beethoven | 1812 Festival Overture, Op.49; Capriccio Italien / Wellington's Victory
Tchaikovsky, Britten | String Quartets
Tchaikovsky, Saint-Saëns, Fauré, Bruch | Works for Cello and Orchestra
Various | Guitar Recital: Jason Vieaux
Various | Works For Lute
Victoria | Missa Gaudeamus; Missa Pro Victoria; Motets
Victoria | Requiem
