Alabama Shakes | Sound & Color
Alice Coltrane | Journey In Satchidananda
Arcade Fire | Funeral
Aretha Franklin | 30 Greatest Hits
Beck | Midnite Vultures
Bruce Springsteen | Nebraska
Bruce Springsteen | The Wild, the Innocent, And The E Street Shuffle
Buena Vista Social Club | Buena Vista Social Club
CAN | Tago Mago
Charles Mingus | Blues & Roots
Charles Mingus | Mingus Ah Um
Charles Mingus | The Black Saint And The Sinner Lady
Coldplay | Parachutes
David Bowie | "Heroes"
David Bowie | Low
David Bowie | Station To Station
David Bowie | The Rise and Fall of Ziggy Stardust and the Spiders from Mars
David Bowie | ★ (Blackstar)
Deerhunter | Halcyon Digest
Duke Ellington | Ellington at Newport
Duke Ellington & John Coltrane | Duke Ellington & John Coltrane
Elliott Smith | XO
Erroll Garner | Concert By The Sea
Geoffrey Gurrumul Yunupingu | Gurrumul
George Harrison | Early Takes: Volume 1
Herbie Hancock | Head Hunters
Hot Chip | The Warning
Interpol | Turn On The Bright Lights
John Coltrane | A Love Supreme
John Coltrane | Africa/Brass
John Coltrane | Blue Train
John Coltrane | Giant Steps
John Coltrane | My Favorite Things
Led Zeppelin | IV
Leonard Cohen | Songs Of Leonard Cohen
Leonard Cohen | Songs Of Love And Hate
Leonard Cohen | The Best Of
Leonard Cohen | You Want It Darker
Lisa Hannigan | Passenger
Louis Armstrong | The Complete Hot Five & Hot Seven Recordings
Marvin Gaye | Let's Get It On
Miles Davis | Bitches Brew
Miles Davis | In A Silent Way
Miles Davis | Kind Of Blue
Modest Mouse | The Moon & Antarctica
Os Mutantes | Os Mutantes
Otis Redding | Definitive Soul
Paul McCartney | Ram
Pharoah Sanders | Karma
Pixies | Doolittle
R.E.M. | Reckoning
Radiohead | OK Computer
Ray Charles | Modern Sounds in Country and Western Music
St. Vincent | Strange Mercy
Stevie Wonder | Early Hits
Sun Ra | Jazz in Silhouette
Talking Heads | Fear Of Music
Talking Heads | Remain in Light
The Beach Boys | Pet Sounds
The Flaming Lips | Yoshimi Battles The Pink Robots
The Rolling Stones | Exile On Main St.
The Rolling Stones | Sticky Fingers
The Walkmen | Bows + Arrows
The White Stripes | White Blood Cells
Thelonious Monk | Genius Of Modern Music, Vol. 1
Thelonious Monk & John Coltrane | At Carnegie Hall
Thom Yorke | ANIMA
Thom Yorke | The Eraser
Ustad Sultan Khan | Saptrang
Youssou N'Dour | Immigrés
